,Width,Height,Filename,Folder,aspect_ratio,aspect_ratio_round
0,682,1008,nailpolishadvertisement31,nail polish advertisement,1.4780058651026393,1.5
1,743,1024,nailpolishadvertisement89,nail polish advertisement,1.3781965006729475,1.4
2,2308,3000,nailpolishadvertisement66,nail polish advertisement,1.2998266897746966,1.3
3,2349,3000,nailpolishadvertisement70,nail polish advertisement,1.277139208173691,1.3
4,1300,1300,nailpolishadvertisement3,nail polish advertisement,1.0,1.0
5,500,500,nailpolishadvertisement27,nail polish advertisement,1.0,1.0
6,1000,667,nailpolishadvertisement93,nail polish advertisement,0.667,0.7
7,500,500,nailpolishadvertisement50,nail polish advertisement,1.0,1.0
8,260,280,nailpolishadvertisement11,nail polish advertisement,1.0769230769230769,1.1
9,750,1051,nailpolishadvertisement46,nail polish advertisement,1.4013333333333333,1.4
10,1300,1377,nailpolishadvertisement47,nail polish advertisement,1.0592307692307692,1.1
11,2000,2000,nailpolishadvertisement10,nail polish advertisement,1.0,1.0
12,626,626,nailpolishadvertisement51,nail polish advertisement,1.0,1.0
13,468,650,nailpolishadvertisement84,nail polish advertisement,1.3888888888888888,1.4
14,1000,830,nailpolishadvertisement2,nail polish advertisement,0.83,0.8
15,500,500,nailpolishadvertisement26,nail polish advertisement,1.0,1.0
16,2349,3000,nailpolishadvertisement71,nail polish advertisement,1.277139208173691,1.3
17,705,330,nailpolishadvertisement88,nail polish advertisement,0.46808510638297873,0.5
18,2308,3000,nailpolishadvertisement67,nail polish advertisement,1.2998266897746966,1.3
19,1600,1700,nailpolishadvertisement30,nail polish advertisement,1.0625,1.1
20,900,900,nailpolishadvertisement83,nail polish advertisement,1.0,1.0
21,3000,4500,nailpolishadvertisement95,nail polish advertisement,1.5,1.5
22,745,1024,nailpolishadvertisement9,nail polish advertisement,1.374496644295302,1.4
23,1000,1080,nailpolishadvertisement56,nail polish advertisement,1.08,1.1
24,436,491,nailpolishadvertisement17,nail polish advertisement,1.1261467889908257,1.1
25,3898,2953,nailpolishadvertisement40,nail polish advertisement,0.7575679835813237,0.8
26,480,360,nailpolishadvertisement37,nail polish advertisement,0.75,0.8
27,1200,1758,nailpolishadvertisement60,nail polish advertisement,1.465,1.5
28,500,500,nailpolishadvertisement99,nail polish advertisement,1.0,1.0
29,500,700,nailpolishadvertisement76,nail polish advertisement,1.4,1.4
30,1600,1689,nailpolishadvertisement5,nail polish advertisement,1.055625,1.1
31,1200,1700,nailpolishadvertisement21,nail polish advertisement,1.4166666666666667,1.4
32,403,548,nailpolishadvertisement4,nail polish advertisement,1.3598014888337469,1.4
33,480,360,nailpolishadvertisement20,nail polish advertisement,0.75,0.8
34,460,255,nailpolishadvertisement98,nail polish advertisement,0.5543478260869565,0.6
35,500,500,nailpolishadvertisement77,nail polish advertisement,1.0,1.0
36,1280,720,nailpolishadvertisement61,nail polish advertisement,0.5625,0.6
37,750,1056,nailpolishadvertisement36,nail polish advertisement,1.408,1.4
38,600,448,nailpolishadvertisement41,nail polish advertisement,0.7466666666666667,0.7
39,1200,1553,nailpolishadvertisement16,nail polish advertisement,1.2941666666666667,1.3
40,248,280,nailpolishadvertisement57,nail polish advertisement,1.1290322580645162,1.1
41,1440,1920,nailpolishadvertisement8,nail polish advertisement,1.3333333333333333,1.3
42,626,626,nailpolishadvertisement82,nail polish advertisement,1.0,1.0
43,1300,902,nailpolishadvertisement42,nail polish advertisement,0.6938461538461539,0.7
44,1000,562,nailpolishadvertisement15,nail polish advertisement,0.562,0.6
45,1300,811,nailpolishadvertisement54,nail polish advertisement,0.6238461538461538,0.6
46,980,980,nailpolishadvertisement78,nail polish advertisement,1.0,1.0
47,334,470,nailpolishadvertisement97,nail polish advertisement,1.407185628742515,1.4
48,236,307,nailpolishadvertisement81,nail polish advertisement,1.3008474576271187,1.3
49,1000,780,nailpolishadvertisement39,nail polish advertisement,0.78,0.8
50,2000,2000,nailpolishadvertisement19,nail polish advertisement,1.0,1.0
51,1248,1200,nailpolishadvertisement58,nail polish advertisement,0.9615384615384616,1.0
52,236,313,nailpolishadvertisement23,nail polish advertisement,1.326271186440678,1.3
53,1006,1300,nailpolishadvertisement7,nail polish advertisement,1.2922465208747516,1.3
54,634,640,nailpolishadvertisement74,nail polish advertisement,1.0094637223974763,1.0
55,600,408,nailpolishadvertisement62,nail polish advertisement,0.68,0.7
56,1177,1600,nailpolishadvertisement35,nail polish advertisement,1.3593882752761257,1.4
57,450,358,nailpolishadvertisement34,nail polish advertisement,0.7955555555555556,0.8
58,1000,636,nailpolishadvertisement63,nail polish advertisement,0.636,0.6
59,1200,1716,nailpolishadvertisement75,nail polish advertisement,1.43,1.4
60,1300,1353,nailpolishadvertisement22,nail polish advertisement,1.0407692307692307,1.0
61,590,590,nailpolishadvertisement6,nail polish advertisement,1.0,1.0
62,500,500,nailpolishadvertisement59,nail polish advertisement,1.0,1.0
63,1300,902,nailpolishadvertisement18,nail polish advertisement,0.6938461538461539,0.7
64,416,280,nailpolishadvertisement38,nail polish advertisement,0.6730769230769231,0.7
65,645,838,nailpolishadvertisement80,nail polish advertisement,1.2992248062015503,1.3
66,1200,1642,nailpolishadvertisement79,nail polish advertisement,1.3683333333333334,1.4
67,1920,2540,nailpolishadvertisement55,nail polish advertisement,1.3229166666666667,1.3
68,691,691,nailpolishadvertisement14,nail polish advertisement,1.0,1.0
69,1567,980,nailpolishadvertisement43,nail polish advertisement,0.6253988513082323,0.6
70,1300,1377,nailpolishadvertisement48,nail polish advertisement,1.0592307692307692,1.1
71,1300,1300,nailpolishadvertisement25,nail polish advertisement,1.0,1.0
72,236,321,nailpolishadvertisement1,nail polish advertisement,1.3601694915254237,1.4
73,372,500,nailpolishadvertisement72,nail polish advertisement,1.3440860215053763,1.3
74,1300,933,nailpolishadvertisement64,nail polish advertisement,0.7176923076923077,0.7
75,346,499,nailpolishadvertisement33,nail polish advertisement,1.4421965317919074,1.4
76,1200,1718,nailpolishadvertisement44,nail polish advertisement,1.4316666666666666,1.4
77,1000,1000,nailpolishadvertisement13,nail polish advertisement,1.0,1.0
78,1280,720,nailpolishadvertisement52,nail polish advertisement,0.5625,0.6
79,974,1390,nailpolishadvertisement29,nail polish advertisement,1.4271047227926077,1.4
80,709,1024,nailpolishadvertisement91,nail polish advertisement,1.4442877291960508,1.4
81,550,412,nailpolishadvertisement68,nail polish advertisement,0.7490909090909091,0.7
82,416,265,nailpolishadvertisement87,nail polish advertisement,0.6370192307692307,0.6
83,1400,788,nailpolishadvertisement69,nail polish advertisement,0.5628571428571428,0.6
84,640,410,nailpolishadvertisement86,nail polish advertisement,0.640625,0.6
85,709,1024,nailpolishadvertisement90,nail polish advertisement,1.4442877291960508,1.4
86,416,230,nailpolishadvertisement28,nail polish advertisement,0.5528846153846154,0.6
87,1200,580,nailpolishadvertisement53,nail polish advertisement,0.48333333333333334,0.5
88,600,818,nailpolishadvertisement12,nail polish advertisement,1.3633333333333333,1.4
89,328,500,nailpolishadvertisement45,nail polish advertisement,1.524390243902439,1.5
90,1023,1023,nailpolishadvertisement32,nail polish advertisement,1.0,1.0
91,2308,3000,nailpolishadvertisement65,nail polish advertisement,1.2998266897746966,1.3
92,453,500,nailpolishadvertisement73,nail polish advertisement,1.1037527593818985,1.1
93,236,313,nailpolishadvertisement24,nail polish advertisement,1.326271186440678,1.3
94,2000,2000,nailpolishadvertisement0,nail polish advertisement,1.0,1.0
95,1600,1243,nailpolishadvertisement49,nail polish advertisement,0.776875,0.8
